School code(s),School full name,Level of schooling,School short name,NSSC total FTE students ,Postcode,Street,Subtype,Town/suburb,Status,Region,SEG,SEA,Local Government Area (LGA - Current),College number,Local Government Area (LGA - Old),SLA,NSW Electorate (2023),NSW Electorate (2015),NSW Electorate (Old),Fed. electorate,Old Fed. electorate,School Performance Directorate,School Performance Area,Educational Services Team,Principal Network,FACS District,AusGovID,Old AusGovID,Org unit No,School population gender,Selective school,Sch specialty type,Preschool indicator,Distance ed.,MCEECDYA Remoteness,ASGS Remoteness,Rural and Remote,IEC,Staff classification,Exec classification,Priority school,Demonstration,Postal 1,Postal 2,Phone 1,Phone 2,School website,School email,Fax 1,Fax 2,Late opening,School division,Heat allowance,Yancowinna,Isothermic,Socio-economic,Transfer points,NSW Electorate Code (2023),Date 1st teacher,Date teaching ceased,Date closed,SEA code,Region code,LGA code,Old LGA code,SLA code,NSW Electorate Code (2015),NSW Electorate Code (Old),Federal electorate code,Old Federal electorate code,SEG code,Executive Director Code,Educational Services Team Code,Principal Network Code,ARIA Plus SA1 Avg,Principal Name,Principal Email,School Planning Region,Primary Cluster Code,Primary Cluster Name,Primary Cluster Region,Secondary Cluster Code,Secondary Cluster Name,Secondary Cluster Region,Combined Cluster Code,Combined Cluster Name,Combined Cluster Region,SSP Cluster Code,SSP Cluster Name,SSP Cluster Region
1070,Asquith Public School,Primary School,Asquith,425,2077,Dudley St,K to 6 ,Asquith,Open,Northern Sydney,Hornsby Network,Hornsby,Hornsby (A),0,Hornsby (A),Hornsby (A) - North,Hornsby,Hornsby,Hornsby,Bradfield,Bradfield,Metropolitan North,School Performance North,Macquarie Park,Hornsby,"South Eastern Sydney, Northern Sydney & Sydney",45797,5797,41,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9477 1258,9477 3660,https://asquith-p.schools.nsw.gov.au,asquith-p.school@det.nsw.edu.au,9482 2523,,No,E,N,N,N,0,1,89,1/03/1930,,,318,531,14000,14000,14001,59,36,6,6,608,25990,24625,25997,0,"McDonnell, Karan                        ",karan.mcdonnell@det.nsw.edu.au,Metropolitan Sydney,10033,Hornsby Primary,Metro - North,,,,,,,40007,Metro / North SSP,Metro - North
1071,Attunga Public School,Primary School,Attunga,31,2345,Railway St,K to 6 ,Attunga ,Open,New England,New England Central,Tamworth,Tamworth Regional (A),0,Tamworth Regional (A),Tamworth Regional (A) - Pt A,Tamworth,Tamworth,Tamworth,New England,New England,Rural North,School Performance North,Tamworth,Peel,Hunter New England & Central Coast,49369,9369,42,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6769 5554,,https://attunga-p.schools.nsw.gov.au,attunga-p.school@det.nsw.edu.au,6769 5690,,No,E,N,N,N,8,1,23,01/04/1878,,,338,536,17310,17310,17311,17,80,30,31,653,26062,24685,26077,2.5,"Sharp, Patricia                         ",patricia.j.sharp@det.nsw.edu.au                                                                                                 ,New England - North West,10194,Tamworth Primary,New England - North West,,,,,,,,,
1073,Auburn North Public School,Primary School,Auburn North,665,2144,100 Adderley St,K to 6 ,Auburn ,Open,South Western Sydney,Granville,Granville,Cumberland (A),0,Auburn (C),Auburn (C),Auburn,Auburn,Auburn,Blaxland,Reid,Metropolitan South,School Performance South,Macquarie Park,Auburn,Western Sydney & Nepean Blue Mountains,47799,7799,43,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9748 1036,9748 2478,https://auburnnth-p.schools.nsw.gov.au,auburnnth-p.school@det.nsw.edu.au,9748 0109,,No,E,N,N,N,0,1,25,01/01/1891,,,316,532,12380,10200,10200,74,2,5,38,618,26008,24625,26009,0,"Clift, Catherine                        ",catherine.clift@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,10085,Auburn Primary,Metro - West Central,,,,,,,,,
1075,Auburn West Public School,Primary School,Auburn West,591,2144,Chiswick Rd,K to 6 ,Auburn ,Open,South Western Sydney,Granville,Granville,Cumberland (A),0,Auburn (C),Auburn (C),Auburn,Auburn,Auburn,Blaxland,Reid,Metropolitan South,School Performance South,Macquarie Park,Auburn,Western Sydney & Nepean Blue Mountains,47801,7801,44,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9649 6774,,https://auburnwest-p.schools.nsw.gov.au,auburnwest-p.school@det.nsw.edu.au,9749 1467,,No,E,N,N,N,0,1,25,1/08/1934,,,316,532,12380,10200,10200,74,2,5,38,618,26008,24625,26009,0,"Hodges, Leanne                          ",leanne.hodges@det.nsw.edu.au,Metropolitan Sydney,10085,Auburn Primary,Metro - West Central,,,,,,,,,
1076,Austinmer Public School,Primary School,Austinmer,291,2515,90 Lawrence Hargrave Drive,K to 6 ,Austinmer ,Open,Illawarra and South East,Wollongong Nth,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Heathcote,Keira,Heathcote,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong North,Illawarra Shoalhaven & Southern NSW,49986,9986,45,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4267 1311,,https://austinmer-p.schools.nsw.gov.au,austinmer-p.school@det.nsw.edu.au,4267 1018,,No,E,N,N,N,0,1,44,01/01/1866,,,343,538,18450,18450,18451,38,34,11,12,669,26045,24706,26061,0.13,"Brett, SIMONE                           ",simone.l.brown@det.nsw.edu.au                                                                                                   ,Illawarra,10008,Wollongong Northern Beaches Primary,Illawarra,,,,,,,,,
1077,Austral Public School,Primary School,Austral,381,2179,219 Edmondson Avenue,K to 6 ,AUSTRAL,Open,South Western Sydney,Hoxton,Liverpool,Liverpool (C),0,Liverpool (C),Liverpool (C) - West,Leppington,Camden,Macquarie Fields,Werriwa,Werriwa,Metropolitan South and West,School Performance South,Ultimo,Glenfield,South Western Sydney,48545,8545,46,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9606 0312,9606 9007,https://austral-p.schools.nsw.gov.au,austral-p.school@det.nsw.edu.au,9606 0080,,No,E,N,N,N,0,1,904,01/06/1893,,,321,532,14900,14900,14904,45,47,46,48,619,27472,24663,26050,0,"Elhage, Khaled                          ",khaled.h.elhage@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,10064,Rossmore Primary,Metro - South West,,,,,,,,,
1081,Avoca Public School,Primary School,Avoca,11,2577,Sheepwash Rd,K to 6 ,Avoca,Open,Illawarra and South East,Goulburn/Highlands,Shellharbour,Wingecarribee (A),0,Wingecarribee (A),Wingecarribee (A),Goulburn,Goulburn,Kiama,Whitlam,Throsby,Regional South,School Performance South,Ultimo,Goulburn,South Western Sydney,50243,10243,47,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,4887 7224,,https://avoca-p.schools.nsw.gov.au,avoca-p.school@det.nsw.edu.au,4887 7380,,No,E,N,N,N,0,1,55,01/09/1872,,,335,538,18350,18350,18350,12,38,47,44,663,26045,24663,26051,0.74,"Kelly, Lesley                           ",lesley.kelly@det.nsw.edu.au,South East & Tablelands,10229,Rural Wolondilly Primary,South East & Tablelands,,,,,,,,,
1082,Avoca Beach Public School,Primary School,Avoca Beach,463,2251,The Round Drive,K to 6 ,Avoca Beach,Open,Hunter/Central Coast,H/CC1,Central Coast,Central Coast (C),0,Gosford (C),Gosford (C) - East,Terrigal,Terrigal,Terrigal,Robertson,Robertson,Regional North,School Performance North,Macquarie Park,Brisbane Water,Hunter New England & Central Coast,56159,16159,48,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4382 1416,,https://avocabch-p.schools.nsw.gov.au,avocabch-p.school@det.nsw.edu.au,4381 1431,,No,E,N,N,N,0,1,13,1/05/1935,,,311,534,11650,13100,13101,42,81,40,41,642,26027,24625,26029,0,"Thomas, Benjamin                        ",benjamin.f.thomas@det.nsw.edu.au                                                                                                ,Central Coast,10117,Terrigal Primary,Central Coast,,,,,,,,,
1084,Awaba Public School,Primary School,Awaba,28,2283,Mulbring Street,K to 6 ,Awaba,Open,Hunter/Central Coast,H/CC6,Lake Macquarie,Lake Macquarie (C),0,Lake Macquarie (C),Lake Macquarie (C) - West,Lake Macquarie,Lake Macquarie,Lake Macquarie,Hunter,Charlton,Regional North,School Performance North,Tamworth,Lake Macquarie West,Hunter New England & Central Coast,48964,8964,49,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,4959 2502,,https://awaba-p.schools.nsw.gov.au,awaba-p.school@det.nsw.edu.au,4950 4905,,No,E,N,N,N,0,1,30,01/06/1891,,,319,534,14650,14650,14655,95,41,21,8,647,26027,24685,26038,0.04,"Tiplady, Alison                         ",alison.tiplady@det.nsw.edu.au                                                                                                   ,Hunter,10128,Lake Macquarie West Primary,Hunter,,,,,,,,,
1085,Colo Vale Public School,Primary School,Colo Vale,169,2575,Wattle St,K to 6 ,Colo Vale ,Open,Illawarra and South East,Goulburn/Highlands,Shellharbour,Wingecarribee (A),0,Wingecarribee (A),Wingecarribee (A),Wollondilly,Wollondilly,Goulburn,Hume,Hume,Regional South,School Performance South,Ultimo,Wollondilly,South Western Sydney,56197,16197,50,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,4889 4250,,https://colovale-p.schools.nsw.gov.au,colovale-p.school@det.nsw.edu.au,4889 4285,,No,E,N,N,N,0,1,78,01/01/1882,,,335,538,18350,18350,18350,40,31,20,21,663,26045,24663,26059,0.32,"Frank, Maree                            ",maree.thiessen@det.nsw.edu.au                                                                                                   ,South East & Tablelands,10229,Rural Wolondilly Primary,South East & Tablelands,,,,,,,,,
1086,Baan Baa Public School,Primary School,Baan Baa,,2390,Curracabah Rd,K to 6 ,Baan Baa,Closed,New England,New England West,Not Defined,Narrabri (A),0,Narrabri (A),Not Specified,Barwon,Barwon,Barwon,Parkes,Parkes,Unassigned,,Unassigned,Unassigned,Hunter New England & Central Coast,9490,9490,5013000,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6794 4758,,Not currently available,,6794 4546,,Yes,,N,N,N,7,4,57,01/01/1885,21/12/2005,17/06/2009,-1,536,15750,15750,0,5,6,34,35,655,-1,-1,-1,4.49,,,,,,,,,,,,,,,
1091,Badgerys Creek Public School,Primary School,Badgerys Creek,,2555,Badgerys Creek Rd,K to 6 ,Badgerys Creek,Closed,South Western Sydney,Hoxton,Liverpool,Liverpool (C),0,Liverpool (C),Liverpool (C) - West,Badgerys Creek,Camden,Mulgoa,Werriwa,Macarthur,Regional South,School Performance South,Ultimo,Macarthur,South Western Sydney,8532,8532,51,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Inner Regional Australia,Yes,No,,,Yes,N,,,4774 8266,,Not currently available,badgerysck-p.school@det.nsw.edu.au,4774 9314,,No,E,N,N,N,0,2,66,01/04/1895,19/12/2014,20/12/2014,321,532,14900,14900,14904,45,56,46,26,619,26045,24663,26055,0.24,,,,,,,,,,,,,,,
1098,Bald Blair Public School,Primary School,Bald Blair,36,2365,Ebor Rd,K to 6 ,Guyra ,Open,New England,New England North,Armidale,Armidale Regional (A),0,Guyra (A),Guyra (A),Northern Tablelands,Northern Tablelands,Northern Tablelands,New England,New England,Rural North,School Performance North,Tamworth,Northern Tablelands,Hunter New England & Central Coast,49413,9413,52,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6779 1578,,https://baldblair-p.schools.nsw.gov.au,baldblair-p.school@det.nsw.edu.au,6779 2060,,No,E,N,N,Y,9,4,62,1/05/1920,,,302,536,10130,13650,13650,15,62,30,31,652,26062,24685,26076,3.72,"Edwards, Roslyn                         ",roslyn.edwards9@det.nsw.edu.au,New England - North West,10168,Guyra Primary,New England - North West,,,,,,,,,
1104,Seaforth Public School,Primary School,Seaforth,459,2092,37 Kempbridge Avenue,K to 6 ,Seaforth ,Open,Northern Sydney,Middle Harbour Network,Northern Beaches,Northern Beaches (A),0,Manly (A),Manly (A),Manly,Manly,Manly,Warringah,Warringah,Metropolitan North,School Performance North,Macquarie Park,The Beaches,"South Eastern Sydney, Northern Sydney & Sydney",47691,7691,53,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9948 1694,9907 0284,https://seaforth-p.schools.nsw.gov.au,seaforth-p.school@det.nsw.edu.au,9907 0858,,No,E,N,N,N,0,1,18,01/07/1881,,,327,531,15990,15150,15150,69,49,43,45,611,25990,24625,26004,0,,,Metropolitan Sydney,10034,Manly Primary,Metro - North,,,,,,,,,
1106,Balgownie Public School,Primary School,Balgownie,341,2519,Balgownie Rd,K to 6 ,Balgownie ,Open,Illawarra and South East,Wollongong Nth,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Keira,Keira,Keira,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong,Illawarra Shoalhaven & Southern NSW,50002,10002,54,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4284 4245,4284 9690,https://balgownie-p.schools.nsw.gov.au,balgownie-p.school@det.nsw.edu.au,4284 3462,,No,E,N,N,N,0,1,82,01/04/1889,,,343,538,18450,18450,18451,38,37,11,12,669,26045,24706,26060,0.13,"Barton, Donna                           ",donna.barton1@det.nsw.edu.au,Illawarra,10003,North Wollongong Primary,Illawarra,,,,,,,,,
1109,Balldale Public School,Primary School,Balldale,,2646,Morrissey Rd,K to 6 ,Balldale ,Closed,Riverina,Riverina South,Albury,Federation (A),0,Corowa Shire (A),Corowa Shire (A),Albury,Albury,Albury,Farrer,Farrer,Unassigned,,Unassigned,Unassigned,"Murrumbidgee, Far West & Western NSW",10463,10463,55,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6035 1251,,Not currently available,balldale-p.school@det.nsw.edu.au,6035 1262,,No,C,N,N,N,8,2,908,1/03/1907,3/04/2009,24/11/2010,301,537,12870,12300,12300,7,1,14,15,656,-1,-1,-1,2.71,,,,,,,,,,,,,,,
1111,Ballimore Public School,Primary School,Ballimore,18,2830,Bomen St,K to 6 ,Ballimore ,Open,Western NSW,Dubbo,Dubbo,Dubbo Regional (A),0,Dubbo (C),Dubbo (C) - Pt B,Dubbo,Dubbo,Dubbo,Parkes,Parkes,Regional North and West,School Performance North,Wagga Wagga,Mudgee,"Murrumbidgee, Far West & Western NSW",51039,11039,56,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6886 5151,,https://ballimore-p.schools.nsw.gov.au,ballimore-p.school@det.nsw.edu.au,6886 5167,,No,C,N,N,N,6,2,11,01/07/1884,,,314,539,12390,12600,12604,14,26,34,35,676,27470,24706,26098,3.12,"Jasprizza, Margot                       ",margot.chivers@det.nsw.edu.au                                                                                                   ,Central West & Orana,10208,Macquarie Primary,Central West & Orana,,,,,,,,,
1112,Ballina Public School,Primary School,Ballina,277,2478,48 Crane St,K to 6 ,Ballina ,Open,North Coast,Southern Cross,Tweed Heads/Ballina,Ballina (A),0,Ballina (A),Ballina (A),Ballina,Ballina,Ballina,Richmond,Page,Rural North,School Performance North,Tamworth,Lennox Coast,Mid North Coast & Northern NSW,49765,9765,57,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,Yes,N,,,6686 2205,6686 2584,https://ballina-p.schools.nsw.gov.au,ballina-p.school@det.nsw.edu.au,6686 0692,,No,E,N,N,N,0,1,86,01/08/1861,,,340,535,10250,10250,10250,3,3,38,34,633,26062,24685,26070,0.7,"Luppi, Stacie                           ",stacie.luppi@det.nsw.edu.au,North Coast,10148,Ballina Primary,North Coast,,,,,,,,,
1115,Balranald Central School,Central/Community School,Balranald Central,158,2715,We St,K to 12,Balranald,Open,Riverina,Riverina South West,Deniliquin,Balranald (A),0,Balranald (A),Balranald (A),Murray,Murray,Murray-Darling,Farrer,Farrer,Rural South and West,School Performance South,Wagga Wagga,Deniliquin,"Murrumbidgee, Far West & Western NSW",46377,6377,58,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,Yes,N,,,03 5020 2222,,https://balranald-c.schools.nsw.gov.au,balranald-c.school@det.nsw.edu.au,03 5020 2269,,Yes,C,Y,N,N,7,6,47,01/09/1865,,,313,537,10300,10300,10300,6,57,14,15,657,26084,24706,26089,4.55,"Comi, Agostino                          ",gus.comi@det.nsw.edu.au,Far West,10214,Deniliquin FW Primary,Far West,20118,Deniliquin FW Secondary,Far West,,,,,,
1118,Bangalow Public School,Primary School,Bangalow,250,2479,Byron St,K to 6 ,Bangalow ,Open,North Coast,Southern Cross,Tweed Heads/Ballina,Byron (A),0,Byron (A),Byron (A),Ballina,Ballina,Ballina,Richmond,Richmond,Rural North,School Performance North,Tamworth,Lennox Coast,Mid North Coast & Northern NSW,49770,9770,59,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6687 1434,,https://bangalow-p.schools.nsw.gov.au,bangalow-p.school@det.nsw.edu.au,6687 2036,,No,E,N,N,N,0,1,86,01/10/1884,,,340,535,11350,11350,11350,3,3,38,39,633,26062,24685,26070,0.62,"Antoun, Caroline                        ",caroline.antoun@det.nsw.edu.au,North Coast,10156,Byron Primary,North Coast,,,,,,,,,
1121,Banksmeadow Public School,Primary School,Banksmeadow,301,2019,Trevelyan & Wiggins Sts,K to 6 ,Botany ,Open,Sydney,Botany Bay,Bondi,Bayside (A),0,Botany Bay (C),Botany Bay (C),Maroubra,Maroubra,Maroubra,Kingsford Smith,Kingsford Smith,Metropolitan South,School Performance South,Ultimo,Botany Bay,"South Eastern Sydney, Northern Sydney & Sydney",46390,6390,60,Coed School,N,Comprehensive,Yes,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9316 9608,9316 9162,https://banksmeado-p.schools.nsw.gov.au,banksmeado-p.school@det.nsw.edu.au,9316 4513,,No,E,N,N,N,0,1,14,01/08/1881,,,307,530,10500,11100,11100,87,50,22,23,605,26008,24663,26013,0,"Dixon, Fiona                            ",fiona.dixon@det.nsw.edu.au                                                                                                      ,Metropolitan Sydney,10014,Botany Primary,Metro - Central,,,,,,,40006,Metro / Central SSP,Metro - Central
1123,Greenacre Public School,Primary School,Greenacre,822,2190,Waterloo Rd,K to 6 ,Greenacre,Open,South Western Sydney,Bankstown,Bankstown,Canterbury-Bankstown (A),0,Bankstown (C),Bankstown (C) - North-East,Bankstown,Lakemba,Bankstown,Watson,Watson,Metropolitan South,School Performance South,Ultimo,Chullora,South Western Sydney,48557,8557,61,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9759 1305,9759 3286,https://greenacre-p.schools.nsw.gov.au,greenacre-p.school@det.nsw.edu.au,9740 4035,,No,E,N,N,N,0,1,906,1/05/1921,,,303,532,11570,10350,10351,83,5,44,46,614,26008,24663,26016,0,"Proctor, Melissa                        ",melissa.proctor@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,10104,Greenacre Primary,Metro - South,,,,,,,40011,Metro / West Central SSP,Metro - West Central
1124,Bankstown North Public School,Primary School,Bankstown North,333,2200,322 Hume Hwy,K to 6 ,Bankstown ,Open,South Western Sydney,Bankstown,Bankstown,Canterbury-Bankstown (A),0,Bankstown (C),Bankstown (C) - North-East,Bankstown,Bankstown,Bankstown,Blaxland,Blaxland,Metropolitan South,School Performance South,Ultimo,Chullora,South Western Sydney,48574,8574,62,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9709 5506,,https://bankstownn-p.schools.nsw.gov.au,bankstownn-p.school@det.nsw.edu.au,9790 0945,,No,E,N,N,N,0,1,906,01/01/1868,,,303,532,11570,10350,10351,78,5,5,5,614,26008,24663,26016,0,"Godwin, Jon                             ",jon.godwin@det.nsw.edu.au,Metropolitan Sydney,10086,Bankstown Primary,Metro - South,,,,,,,,,
